Prevalence,NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD
11.7,71.4238586,0.0747903,15.038681,23.7405605,152.445462251104374,68.405469953944575
7.1,47.590538,0.073629,15.2846146,19.8020897,1.258752028765201,159.081842632413782
24.1,79.7624588,0.0767377,13.2807951,24.8429222,138.700303432985038,58.416199778016399
22.2,43.587265,0.0732972,15.8904848,20.7188911,578.310694861964862,113.596848685634498
9.7,30.1819496,0.0678119,13.3186846,22.8661861,17.224074713132538,71.417375430610505
13,81.1776962,0.0768561,13.2877388,24.7181759,39.120562970601789,32.637752472482582
10.2,48.5452766,0.071138,15.7762222,23.5238724,39.116102119225928,32.693792246836949
14.7,35.0785637,0.0716931,15.6376019,21.8398666,0,50.215961616421239
7.9,44.7982864,0.0716288,15.4019747,21.5216999,256.953862255479862,48.177650947281329
15.7,44.4414024,0.0687409,16.5647659,23.3110027,158.601336569854880,67.292527932018757
17.8,35.6843452,0.0748402,15.9354734,20.2476215,53.904994776972572,50.181506317789079
8.9,62.212944,0.0742678,14.9383106,22.5655975,16.214151903084396,134.755652119687539
21.5,35.4414101,0.0660939,15.1329641,22.8877048,32.474111731734141,22.780217669311728
7,69.1475906,0.0799543,12.2706718,24.8070507,18.373181167457631,19.606447595504072
11.2,36.8040085,0.0717946,16.6547813,21.7366085,44.589686914862249,50.566169205213711
7,33.8243179,0.0700673,12.8413296,23.3015118,0,29.661760921890750
21.4,43.5366783,0.0739632,15.8450174,20.5387249,0,87.552864349687397
13.4,43.957119,0.0644521,39.0273361,23.1886349,57.074830889555798,184.065577003703709
11.1,37.8392334,0.0712392,18.2299747,21.778204,27.597472907534861,64.868882607256594
21.2,43.145092,0.0639828,42.9550247,23.6291695,127.659670957364995,52.682443175816417
10.5,41.3204193,0.0738237,15.6945143,20.5629272,56.157921688339968,49.596155807637452
10.3,44.8716316,0.0717727,17.0451126,21.0951309,23.996491671417409,70.309879008196489
10.9,40.8886528,0.0690816,15.4642181,23.3742676,37.572652649535755,63.235223748482518
21,34.6851845,0.0662298,14.9296808,22.8418999,0,20.680589827752694
4.7,44.0858269,0.068782,16.4895611,23.2418919,148.641996472638766,73.946564167201643
5.5,36.1920013,0.070193,15.1166992,21.351881,0,104.629338088530332
3.8,69.6137543,0.0743282,15.2147703,23.685606,0,9.502221438615063
8.9,75.4961929,0.0764843,14.0316944,24.4548683,42.569717856573995,47.818461057032366
12.8,76.2627869,0.0777769,13.4442348,23.8515568,0,37.808826043983991
11.3,52.6030807,0.0704764,17.5129585,23.439127,42.986809322358894,48.824395857920983
17.2,80.528389,0.076818,13.3579674,24.8714714,528.155003285272755,17.624001444421896
17,66.3784637,0.0730931,17.0616741,23.3080254,13.029899991120249,63.781595345719751
14.2,45.7855301,0.0698806,16.5029621,23.4220085,45.238890960171815,36.124070099640377
10.5,42.4580383,0.0682076,16.2760773,23.3125916,28.824533507335449,74.817541220818399
18.1,40.5593262,0.0713282,17.5120945,21.59725,69.863282695016892,93.395631553111372
21.1,50.9534912,0.0709096,17.4311714,23.5089073,122.876825641591282,19.129372901990262
11,34.9973946,0.0674114,14.5004301,23.0894642,146.902626585553463,37.395520469954782
10.8,67.1525574,0.0739301,15.3562374,23.4880505,0,28.872871461343422
11.6,37.301609,0.0693202,14.4241619,23.4325962,44.941913789786348,37.353037505142268
15.1,51.8966484,0.0713072,17.0778675,23.5362301,21.723309813313445,20.097513330807857
11.9,70.5995026,0.0754854,14.4063339,23.7810345,25.250428860240998,68.374878360046779
6.7,43.2439995,0.0640586,42.2285614,23.4022846,44.832290514707282,74.873105157017960
11.2,60.3069725,0.0733898,15.252265,23.4954624,62.650181176754025,35.065997113333225
12.3,44.6828079,0.073654,16.3571434,20.3943138,50.344182516308777,74.398810834922031
6,44.3223305,0.0686891,16.5743484,23.3369846,0,84.875612956654066
6.8,41.0516281,0.0700982,14.9361839,23.4763165,34.003236499084792,26.075220428340351
7.1,38.0103149,0.0665097,15.5493402,23.1497421,39.540832463852666,138.416733734846758
10.5,,0.0792342,13.3000002,23.0967426,45.884699547767859,27.800079089931952
10.8,32.0172081,0.0694387,12.3291349,22.9668503,0,33.420045236911662
15.8,34.0794487,0.0664565,14.8396196,22.7636356,39.283412370374116,58.537027650282582
10.5,,0.0882422,,,15.443904284544189,37.264519008572236
7.4,35.1742744,0.0700389,13.4060602,23.4402943,32.644855349473715,63.383974938502213
12.3,44.2135239,0.0698403,16.2635746,22.3256283,0,76.716096628169083
5.9,76.6429596,0.0779389,13.1690607,23.9329433,66.819993519871176,36.622096247027720
12.4,80.5695953,0.0768783,13.5174875,24.9624329,0,52.901124816613269
9.1,45.3116264,0.071835,17.6034126,20.9026737,51.656612195430291,40.787581558652157
11.9,43.6659737,0.0714438,14.4472065,23.5770588,281.064636181004573,32.225987061516314
17.6,46.6279297,0.0701733,16.5522976,23.4431496,22.667976317905634,59.233246841760369
17.2,41.2574234,0.072238,16.2863369,21.1426468,70.632660130205736,55.730671306358389
8.7,30.0359993,0.0684296,12.9372177,22.9050407,21.019728226914612,40.125018709712911
15,42.4878769,0.0711944,14.5506401,23.5560513,22.762737318417560,62.098726555076709
3.2,49.0545273,0.0702532,16.7676125,22.8081074,27.177303832695927,52.996081053153603
6.2,34.3953972,0.0704103,12.533885,23.2928143,0,52.370188139937028
12.5,73.131897,0.0765026,13.8119631,24.0926685,88.151671915913496,57.656005222114828
3.9,45.7256851,0.0700017,16.3889923,23.4293461,41.815510137346848,49.352980942606585
11.8,56.5573654,0.0718096,18.6247768,23.5308228,129.694841972176278,13.300817970401608
11.1,35.5506668,0.0671516,14.7571669,23.0843239,245.235663616059810,107.472317189142572
13.7,65.6487427,0.073031,16.9314117,23.3316612,28.834206048529950,60.026562351281271
4.6,,0.076356,13.3000002,20.6152573,475.650912349343855,23.069436234104906
14.7,71.1239395,0.0753672,14.6238184,23.7405014,20.946538738673208,69.107898635275930
13.9,78.5904388,0.0775828,12.9196568,24.0696316,0,33.462383010674927
12.2,70.2496033,0.0774293,13.2314301,24.4961376,83.852093186182913,38.841242093618966
21.1,76.5525208,0.0778375,13.3271351,23.8394642,0,53.621294031295207
10,44.4105721,0.0732561,16.2289314,20.6126842,41.751789797752231,123.025573982716836
8.5,35.8528252,0.0677098,14.6348038,23.1894932,27.253344813695371,68.353527613219356
8.2,33.7820549,0.0701999,12.3620033,23.1688328,95.922761444547007,59.702901088170883
8.4,61.2550011,0.0733305,15.7326765,23.4451027,0,48.355848647703120
13.7,35.7569199,0.0714498,16.0613861,21.8992348,55.436970386521651,52.003204601122462
5.7,28.370636,0.0668511,13.3187551,22.7292156,26.351763618314273,35.891531439869176
10,65.5128174,0.0739606,15.6276541,23.3861713,21.305916283016405,62.175788972603570
14.6,38.2567291,0.0712933,18.075983,21.7622166,0,105.912839173466580
10.6,33.0798111,0.0699343,14.7259398,19.2174473,0,70.571581394445943
2.2,75.9947433,0.0766118,13.6784706,24.6017933,29.873885546116497,14.471516645646771
7.6,36.6664734,0.0671787,15.4386263,22.894453,460.189228698410034,25.477653873490834
15.4,40.6182747,0.0696178,15.0910282,23.4349995,34.379571107488850,35.966410919608833
19,76.3086929,0.0778054,13.3896322,23.8765697,284.636090528833336,72.759768394099936
10.9,65.8225098,0.0737023,15.5107727,23.3235683,99.320466510138672,42.678588062409624
8.7,,0.085718,,,34.549123769685075,29.906946902308039
5.5,73.9473877,0.0764642,13.8234062,24.5446224,39.251242897836612,52.137272556487190
2.9,49.6494713,0.0712167,15.9918966,23.5268497,0,46.256318027316141
11.5,80.466362,0.0773942,12.9425993,24.7435741,54.237063093375490,62.656110457027609
9.4,30.0501118,0.0668995,13.5839634,22.7464924,124.111824768957192,33.102387493775836
14.3,67.0741348,0.0740995,15.1995935,23.4664497,631.010380492506556,65.682234504224411
5,37.2509499,0.0713404,15.3769093,20.3152218,370.631889074482274,341.092562188022953
25.3,77.1498413,0.0776488,13.2003641,23.9065876,454.389653385068300,49.281517653350093
14.7,53.1570168,0.0710302,16.8782406,22.7953987,92.643990520798539,36.749118068481813
8.2,67.0486603,0.0732959,16.803751,23.3570557,25.652157245516911,48.849520258848479
20.7,77.6184921,0.0776512,13.0532732,23.9625626,50.185136774685866,57.147976506688828
28.3,42.4699135,0.0710635,17.5985107,21.6083126,63.403750364390298,84.421261005419126
9.5,74.2857056,0.0761651,14.2569532,24.4023991,20.643294937068127,13.870633368519698
11.6,43.0804901,0.0741809,15.791832,20.5060196,13.779291604754590,47.554961538478622
10.5,65.1002655,0.0730351,16.6574574,23.3968296,0,37.768416093853567
10.2,70.9842072,0.0796417,12.3849945,24.8066292,30.746932595994416,40.690915111190876
12.6,77.6184921,0.0776512,13.0532732,23.9625626,447.626742850699543,25.387526837245307
14.4,40.3060226,0.068221,15.6905003,23.3063107,29.945265024730045,4.305807786994302
26.1,76.4889984,0.0777261,13.3794756,23.8686066,37.739305433135556,29.482534348519088
10.9,40.3060226,0.068221,15.6905003,23.3063107,29.945265024730045,4.305807786994302
3.4,40.2520523,0.0676886,15.8537474,23.2762012,54.165982358196615,140.885475305785377
12,41.983223,0.065255,37.3618011,24.7480831,355.841173653289388,140.353816462046268
12.5,68.8688889,0.0738045,16.3061867,23.4380074,0,67.263505496771302
9.3,41.1491203,0.0715776,16.9860115,21.3969746,45.493914391767987,51.606948062190817
3.4,31.1481514,0.06651,13.8555365,22.7467556,48.263956467538634,106.271951143113412
4.9,,0.0881862,,,49.085273382433208,55.159737074374810
2.8,63.0946655,0.0729535,17.2289028,23.3683414,43.656252491542944,63.094329813455850
14.6,43.1411362,0.0697605,23.2293415,21.8054104,53.506960107853118,38.146283306078217
6.9,28.2613449,0.067617,12.7514782,22.8013382,115.435730088677516,62.435791459299388
16.7,65.0815964,0.0740863,15.328846,23.4095554,31.191085836359054,31.012672809732074
11.3,58.6260796,0.0728784,15.7198505,22.3340626,0,87.084989813876433
20.7,32.8165207,0.0666698,14.1612549,22.8242836,252.154150091849829,51.177166145704049
13.9,48.2461624,0.0713682,15.2369928,23.5535603,26.131029869092160,44.453693665555036
10.9,40.5397873,0.0711568,18.0624599,21.668932,133.723528611541184,53.141054837782228
19.5,63.6094246,0.0743781,14.9438133,22.7587166,0,94.278590851725070
13.3,52.1700058,0.0707719,16.9249172,22.8925457,66.038873462290510,64.648645251932891
18.7,37.7436371,0.0712399,18.2186012,21.7811699,29.819611160803586,40.423564294844972
10.9,63.6494675,0.0732252,16.0045776,23.1843662,0,79.701982142351312
34.2,32.5208282,0.0666866,14.082015,22.8115959,96.504306825859842,37.472629264051953
16.9,32.5012627,0.0692614,14.8488503,21.3162785,34.252835594884964,83.772333261775898
19.5,68.9283981,0.0799255,12.3351316,24.7990894,35.289727115189436,31.715790362002366
