CID,NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAR_FID,NEAR_OPENSPACE,NEAR_ROAD,Prevalence,Latitude_Last,Longitutde_First
1,81.2600327,0.0771435,13.1405544,24.7970009,519647,0.000000000000000,11.364863528839374,,830563,240018
1,31.2667561,0.0688207,14.3981123,19.9560719,109169,490.983901730425771,278.217611216292994,,939181,177708
1,,0.0758727,,20.5000191,562542,11.188354696758893,3.161533566838975,,789121,266511
1,35.5251350,0.0742159,15.2953930,20.5358257,388079,0.000000000000000,43.963285317879041,,903114,130682
1,35.1328087,0.0745272,15.3978605,20.5345650,356183,527.061249282429344,989.314286463954545,,914104,134449
1,40.5524292,0.0691246,26.0383854,21.9990520,14757,367.783902939345182,104.469642157597107,,923554,89118
1,35.3902740,0.0743598,15.7022171,20.3802891,404200,68.167740139957630,150.853566306179545,,903539,141097
1,42.3079567,0.0695162,24.3796806,21.8517914,379742,705.056889172844194,240.201971239211332,,903726,92764
1,42.9323273,0.0642747,42.5623589,24.4586143,349213,0.000000000000000,57.682242502170986,,919751,50826
1,81.4877014,0.0770661,13.2818985,24.8518772,507174,0.000000000000000,668.244674884808092,,831209,236975
1,45.4242325,0.0612052,31.8416481,22.8767262,352437,369.104625840948813,115.776653452624728,,871014,62150
1,78.1925812,0.0773573,13.0333042,24.8824177,279762,959.062112472540775,975.249972472248373,,843242,247639
1,34.4698715,0.0722519,15.3923531,20.2698326,84917,0.000000000000000,356.316748170863264,,917263,147804
1,44.9781837,0.0604579,36.1908722,23.0215416,349061,558.843195212822934,24.269067822127418,,880925,52339
1,45.9254684,0.0658610,35.1622124,23.0243950,5569,934.949341312347315,30.281521985946871,,892279,66082
1,44.9988289,0.0595316,36.6969452,23.7250614,2649,540.081954459209783,124.729230081177818,,880634,44957
1,43.1829453,0.0662780,34.4906998,23.0434341,10047,259.604767095867260,50.904935051501568,,918874,72368
1,42.0617943,0.0697308,23.4794292,21.8326054,369414,0.000000000000000,540.301662692217064,,902566,94899
1,35.3963203,0.0745663,15.8312473,20.3545494,368335,0.000000000000000,506.654915550383521,,897732,135303
1,45.4503326,0.0590000,36.5054626,25.6153393,362635,0.000000000000000,835.946937860496632,,868542,36347
1,44.3819809,0.0652580,37.3942680,23.1569118,44,51.106563443976604,529.650022278305528,,901951,64825
1,43.2008591,0.0665842,33.7920341,22.9542828,352459,0.000000000000000,96.279326799369386,,918829,73776
1,37.2138863,0.0729165,15.5119209,20.2390156,382691,0.000000000000000,84.009267410262098,,897982,153359
1,77.0000000,0.0809251,13.3000002,23.7817898,328597,513.493119522136681,234.770208925716588,,825931,284047
1,34.1710625,0.0720369,15.3462095,20.2421417,78892,243.722278894328838,234.623051580554034,,920908,147764
1,77.4937515,0.0781966,12.7315464,24.9848690,306043,860.619615272612236,175.787750043794830,,838895,254472
1,35.1681709,0.0743447,15.6153173,20.4525204,397908,375.869013367864227,829.738871300661231,,911198,137423
1,39.0276527,0.0724097,15.4276505,20.1845608,84183,0.000000000000000,63.920872140340421,,894246,159215
1,35.1741638,0.0744957,15.2622766,20.5617867,366968,576.297324561548180,1088.675576024190605,,912577,133459
1,44.1215935,0.0603351,41.3073158,24.2597580,360597,0.000000000000000,53.108776906474709,,895648,42217
1,34.7745399,0.0746118,15.3131981,20.5638752,16252,267.212580562629455,108.641143045203521,,935686,130274
1,,,,,565274,0.000000000000000,274.838748466037657,,779318,322041
1,41.8689461,0.0683072,29.1704693,22.2860947,28494,135.511261112287343,387.403742998299208,,921693,82373
1,34.5048904,0.0731913,15.1528263,21.1831532,15488,249.315198151828127,623.121269804217832,,931423,123654
1,43.7665253,0.0689245,27.0476189,21.8920250,20874,0.000000000000000,279.493563435492263,,900734,86542
1,34.9527740,0.0705468,15.0480928,19.9713173,412801,0.000000000000000,191.767379256542029,,915252,167143
1,45.2392349,0.0623037,33.2620392,22.9051571,6672,0.000000000000000,48.972191185151217,,875287,62008
1,34.7164154,0.0705608,15.2073059,19.5791893,409361,0.000000000000000,305.138266925121684,,916676,162303
1,80.9001617,0.0770020,13.4692831,24.9663181,502222,0.000000000000000,113.709490462394513,,834582,236306
1,79.1968918,0.0770594,13.3667498,24.8648624,521532,824.280093211750113,56.040279242133430,,842993,241634
1,35.1854439,0.0743491,15.6278133,20.4469757,397908,90.894964835746023,330.667044942961354,,910802,137733
1,43.3590546,0.0680698,30.7369022,22.1837730,29290,30.055881975660810,698.400645400985468,,912893,79542
1,37.2517319,0.0702018,20.6290970,21.9062786,374014,351.176335544068365,106.296670271006619,,937094,100600
1,43.2044373,0.0639275,43.2769279,24.2780132,349602,0.000000000000000,89.505725376742703,,914253,49263
