NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD,Prevalence
77.4937515,0.0781966,12.7315464,24.984869,860.619615272612236,175.787750043794830,
35.1681709,0.0743447,15.6153173,20.4525204,375.869013367864227,829.738871300661231,
39.0276527,0.0724097,15.4276505,20.1845608,0,63.920872140340421,
35.1741638,0.0744957,15.2622766,20.5617867,576.297324561548180,1088.675576024190605,
44.1215935,0.0603351,41.3073158,24.259758,0,53.108776906474709,
34.7745399,0.0746118,15.3131981,20.5638752,267.212580562629455,108.641143045203521,
,,,,0,274.838748466037657,
41.8689461,0.0683072,29.1704693,22.2860947,135.511261112287343,387.403742998299208,
34.5048904,0.0731913,15.1528263,21.1831532,249.315198151828127,623.121269804217832,
43.7665253,0.0689245,27.0476189,21.892025,0,279.493563435492263,
34.952774,0.0705468,15.0480928,19.9713173,0,191.767379256542029,
45.2392349,0.0623037,33.2620392,22.9051571,0,48.972191185151217,
34.7164154,0.0705608,15.2073059,19.5791893,0,305.138266925121684,
80.9001617,0.077002,13.4692831,24.9663181,0,113.709490462394513,
79.1968918,0.0770594,13.3667498,24.8648624,824.280093211750113,56.040279242133430,
35.1854439,0.0743491,15.6278133,20.4469757,90.894964835746023,330.667044942961354,
43.3590546,0.0680698,30.7369022,22.183773,30.055881975660810,698.400645400985468,
37.2517319,0.0702018,20.629097,21.9062786,351.176335544068365,106.296670271006619,
43.2044373,0.0639275,43.2769279,24.2780132,0,89.505725376742703,
40.851841,0.0688604,27.0287914,22.1114979,0,403.326676628593248,
44.5305977,0.0694524,24.2809448,21.8188248,296.596380495650465,33.797668598825133,
78.3547668,0.0786507,12.7408619,24.6404114,3.934534942251665,689.382999105684348,
37.0352364,0.0704747,19.5121937,21.9069481,627.922577687138642,381.872970819499074,
35.0738373,0.0703811,14.976182,20.708292,0,77.604324233177948,
42.0012817,0.0660275,33.9987793,23.1938648,5.744619090547506,975.013215586765114,
31.2160187,0.0691852,12.6242523,22.989275,0,104.169582385529495,
47.0490189,0.0687987,27.0917225,21.8592091,0,216.442859483522540,
42.867363,0.0683501,29.6927986,22.0846519,0,80.910028093394246,
42.3203392,0.0648209,39.9901657,24.6957836,259.928517305168498,156.177010705411249,
,0.07705,13.3000002,22.1560116,0,1732.182314838571983,
35.082962,0.0746811,15.3985567,20.1288452,0,216.686333066841030,
34.3410759,0.0732506,15.0126543,19.3502483,518.486640468382348,512.205186324324472,
44.7933578,0.0612479,37.3338203,23.036972,277.730709588713182,675.532788379566909,
35.2669106,0.0744537,15.644928,20.433733,0,1546.034823570941171,
34.9223061,0.0723184,15.2378654,21.6094627,0,181.467871109965785,
45.4825172,0.0599332,31.1597652,22.8893013,0,688.894597823198978,
41.7699051,0.0698791,22.8873787,21.8226013,4.808387586222435,350.829234428926611,
42.5086365,0.0651721,37.7576904,23.5992641,0,300.518292774536974,
45.0794868,0.0669982,33.879097,22.6072445,0,67.361232176556157,
43.0414009,0.073547,15.4926472,19.9807281,144.206106012299557,17.215672553733928,
45.4051132,0.059,37.235363,25.6293812,0,1679.904431008412757,
34.1359062,0.0698904,14.7160368,19.0590382,54.245672312512298,218.748526973420581,
40.6643562,0.0700157,22.2716408,21.8393497,421.225808866258319,7.451248581437886,
34.5442543,0.0704746,15.1134033,19.5252476,0,622.464986271783232,
42.4422035,0.0649897,39.0943108,24.5206013,333.051967229563672,281.117310363667912,
57.0401497,0.0749559,14.5704699,21.2725201,0,193.789305209483530,
45.0484352,0.0609885,34.9381104,22.9164333,233.299644654783464,184.954454750265029,
47.1128273,0.0689853,26.0174809,21.8218231,0,290.362790954339061,
35.7332497,0.0708098,17.991148,21.6511402,633.470336436107686,252.705778626729057,
35.492897,0.0745913,15.8556881,20.3395386,0,132.011772540809602,
41.9017754,0.0740622,15.5275059,19.9701405,687.427666490164029,11.651766144018916,
,,,,49.715063917692071,63.306392297519274,
36.9714394,0.0703196,20.1092987,21.8737564,31.715828756751275,118.786698666936715,
43.3516121,0.0693339,25.1220245,21.851141,0,776.915214789309061,
77,0.0779219,13.3000002,23.756237,148.152649745572148,143.323927656400997,
36.4375839,0.0705503,19.0945644,21.8203106,739.833616895688806,39.693242615845286,
55.3746643,0.0862444,13.7796049,27.0658875,0,4.808892011507464,
38.4448318,0.0703239,20.4358521,21.888958,237.011979593320490,16.426970052257417,
33.079525,0.0695997,14.5768929,19.3559628,0,435.046087862180229,
78.0695953,0.0777657,12.8366737,24.9866695,0,64.764305890847467,
35.2973251,0.0712188,17.0016098,21.4709034,0.726378744,64.309703888574703,
74.1397705,0.0778355,13.0592852,24.7879562,75.896077577563418,26.385451547859024,
46.0043716,0.0695192,23.4316483,21.7720985,14.252256026347004,0.779716188,
33.7058678,0.0714432,15.1844549,19.5676022,119.885529064928690,383.852376157753440,
47.949337,0.0689478,25.3702106,21.6588287,958.904011676027949,20.926881077182777,
36.3151283,0.071783,15.4627075,20.094532,0,62.901541936476860,
44.4246635,0.0638259,36.8710556,23.0524445,139.570317777491880,157.076942130781305,
34.7511597,0.0710823,15.291976,19.9534111,792.124422136472049,285.104302861794622,
35.1558533,0.0744862,15.1767178,20.029026,0,83.124296458789445,
34.5127373,0.0733553,15.1226072,21.1313934,0,191.853471949450181,
41.4616051,0.0683327,28.7205906,22.3580112,0,103.016523984634873,
44.2060204,0.0690967,26.1584606,21.8647804,0,456.518901280242915,
48.0067062,0.0670977,31.0235615,22.5391102,13.375241898130694,93.057533411717401,
42.3818359,0.0647916,40.1660995,24.6740017,675.194176836589918,731.753164898456703,
35.3833885,0.0746479,15.8941622,20.3239136,539.176217165492403,424.138210353776230,
76.8413696,0.0809219,13.3015995,23.8863411,0,115.053181343665344,
39.505928,0.0704043,20.8078728,21.8127785,0,385.539647662797108,
32.3422432,0.0694351,14.4782009,19.5126209,1041.530160278993435,90.988149398291341,
