index,Prevalence,NO2_KRIG,O2_KRIG,pm25v2_KRIG,pm25v1_KRIG,NEAREST_OPENSPACE,NEAREST_ROAD,target,asthma_hotspot_probability
295,15.0,72.9347229,0.0754476,14.6091776,23.9389038,29.80562971247982,92.41103274135278,1,1.0
552,0.0,48.8010101,0.0676102,27.4332523,21.9128056,0.0,740.2112512471015,0,0.01
69,14.2,45.7855301,0.0698806,16.5029621,23.4220085,45.238890960171815,36.12407009964038,1,1.0
774,10.6,33.8310165,0.0668795,14.7778091,22.7206001,166.54536201927036,46.571532899643614,1,1.0
740,0.0,41.3770714,0.0671021,28.9280624,23.234333,0.0,351.1950249543253,0,0.01
1200,22.6,77.1498413,0.0776488,13.2003641,23.9065876,134.26447537645484,62.32343465721408,1,0.98
210,0.0,41.0587845,0.0698662,22.8870544,21.8454781,226.9026065929022,35.48801009170212,0,0.07
875,12.3,55.9003983,0.0719554,16.4713211,22.4365196,68.22011800092756,79.97508342571241,1,1.0
787,0.0,35.2836456,0.0743669,15.6975126,20.405098,0.0,591.1828752582487,0,0.0
593,16.2,45.2614365,0.0717902,15.3135557,21.4433956,42.551243104377114,64.4516368239464,1,1.0
882,12.8,65.584053,0.0735618,15.7144585,23.3799801,258.39900717385046,188.22899147080872,1,0.94
539,11.9,47.8891754,0.0721652,15.2117548,21.5999813,33.57837823342062,10.00754484861757,1,1.0
294,0.0,39.1440697,0.0703946,20.6231937,21.8396912,92.47946414948989,478.67052898036127,0,0.0
679,0.0,48.2450142,0.0687529,25.7440529,21.6232185,0.0,774.06356355574,0,0.0
1227,8.9,46.7335625,0.0698832,16.801342,23.4270058,6.88352878725716,64.37407750999938,1,0.99
261,0.0,34.5633049,0.0742892,15.2576952,20.375845,0.0,184.1491840151998,0,0.0
1003,7.6,44.2630386,0.0714264,14.7661724,23.5661201,146.92837034703095,43.60546533014463,1,1.0
1172,6.3,43.2150917,0.0727967,15.8924913,20.9040222,377.7605403748981,84.57951793490525,1,0.98
85,10.8,32.0172081,0.0694387,12.3291349,22.9668503,0.0,33.42004523691166,1,0.91
430,9.5,63.2517395,0.0766207,13.2248554,24.0072231,0.0,21.36463196439581,1,0.87
126,0.0,41.9651947,0.0697288,23.4888287,21.8353176,187.6490338928576,61.02683792496909,0,0.06
73,11.0,34.9973946,0.0674114,14.5004301,23.0894642,146.90262658555346,37.39552046995478,1,0.99
112,8.2,33.7820549,0.0701999,12.3620033,23.1688328,95.922761444547,59.70290108817088,1,0.98
576,12.9,49.4978905,0.0709056,16.3985214,22.2232075,54.64623342373893,126.6018518652498,1,1.0
1253,15.0,57.2634926,0.0722376,18.359602,23.5667858,55.06478489949416,24.61954459921899,1,1.0
860,5.6,44.9128418,0.0701474,20.6261253,21.7014885,10.011689361662413,26.13136042916,1,0.93
887,14.3,38.3786163,0.0699708,21.9409294,21.9269676,66.30352892298491,65.44806734249649,1,0.88
41,0.0,43.3590546,0.0680698,30.7369022,22.183773,30.055881975660807,698.4006454009855,0,0.0
48,8.9,62.212944,0.0742678,14.9383106,22.5655975,16.214151903084396,134.7556521196875,1,0.77
715,0.0,47.8552055,0.0691004,23.8745041,21.5425434,164.88684906185392,126.67672428503217,0,0.02
755,0.0,34.229866,0.0738067,15.2311754,20.1650658,68.1006912801031,177.21135650684894,0,0.14
690,16.9,73.55513,0.0761992,14.1740303,24.4668579,489.69479461456393,31.21757565819728,1,1.0
1258,11.1,44.600193,0.0738247,16.2680626,20.370594,0.0,49.67833542451001,1,0.94
641,0.0,47.650177,0.0658886,31.6573124,22.7473621,0.0,292.9302875999901,0,0.0
755,11.2,78.0211792,0.0766131,13.3113384,24.8647423,988.5530874348968,33.25589808373278,1,0.88
541,13.7,47.4562607,0.0710702,15.5974283,23.5218124,42.87240223657758,53.43289655450478,1,1.0
925,0.0,47.2928581,0.0696397,21.5490837,21.3434906,373.51255078984144,78.79500855740224,0,0.47
566,4.2,41.7181625,0.0713883,13.7558403,23.5725651,357.35160908620617,25.131172039943944,1,1.0
217,21.2,76.2933884,0.0777638,13.4327183,23.8589573,48.76705067177568,23.30309327804052,1,0.99
723,13.0,36.2629471,0.0661318,15.3251095,22.943264,56.02394525669701,41.28930645286313,1,1.0
506,5.0,47.3043747,0.071784,15.540637,22.0295296,45.18192657310468,60.529276379054586,1,0.99
543,0.0,35.1827431,0.073143,15.0642214,21.263546,0.0,136.61648751580142,0,0.09
1352,22.0,79.062027,0.0767026,13.3190908,24.8937855,1060.0044101115416,155.6734981293475,1,0.81
997,16.5,49.9824257,0.070699,17.2787952,23.49086,26.64976669902781,36.781732951013495,1,1.0
135,0.0,44.1365509,0.0614915,41.1477356,23.7775116,911.0741347717591,462.11539440695054,0,0.01
291,0.0,44.4771805,0.0687547,27.8153725,21.899107,0.0,2.166201590791137,0,0.03
1059,10.0,34.6544266,0.0666899,14.6866322,22.9438324,298.49363642278314,76.99716900834697,1,1.0
1193,74.2,43.9056625,0.0713973,16.6728153,21.4159603,48.005717011060874,42.32064189994048,1,1.0
911,0.0,34.4828568,0.0733861,15.1538057,21.1051502,0.0,281.71824034216235,0,0.0
18,9.0,39.4118538,0.0707211,14.0201674,23.5281487,42.97016431610943,38.513455301281525,1,1.0
515,0.0,41.4268112,0.0674583,29.7365685,22.8654652,0.0,170.95469074193656,0,0.0
292,0.0,44.8659134,0.0595767,37.3041725,23.7951756,353.6712475178655,214.2309878389352,0,0.0
1096,11.2,40.2389069,0.0700767,14.7366333,23.4825802,206.33179377058116,73.43660018510198,1,0.99
785,0.0,38.2416115,0.0696446,22.7015743,22.082283,638.4817394443204,106.5526132046356,0,0.02
694,0.0,38.2892418,0.0744479,16.0109653,20.3573437,405.86983679704633,254.87579034370444,0,0.06
67,17.2,80.528389,0.076818,13.3579674,24.8714714,528.1550032852728,17.624001444421896,1,0.89
455,0.0,45.5530777,0.0675886,32.4212303,22.2989674,149.04986341596455,545.2496604865139,0,0.0
131,0.0,44.7329865,0.0658216,36.3099403,23.0395889,0.0,449.3929899795903,0,0.0
763,0.0,33.8996277,0.0720239,15.3048429,20.1833954,54.04958961950432,174.15240070866253,0,0.09
975,0.0,38.5674438,0.0706315,19.9624214,21.8087025,0.0,18.80312172466513,0,0.18
347,0.0,34.898056,0.0722217,15.2788849,21.6446075,647.8969400762495,246.540466532778,0,0.0
46,0.0,78.3547668,0.0786507,12.7408619,24.6404114,3.934534942251665,689.3829991056843,0,0.13
848,0.0,42.1309433,0.0657634,35.2284584,23.2020874,482.8364385295299,316.252423924718,0,0.11
174,13.8,44.5968361,0.0732007,16.3695908,20.5795364,28.09870811853721,58.95061978903656,1,0.98
882,0.0,75.1622772,0.0794904,12.4569445,24.9573135,1494.5126253849005,54.07194806482652,0,0.01
84,0.0,78.0695953,0.0777657,12.8366737,24.9866695,0.0,64.76430589084747,0,0.08
414,0.0,36.3818321,0.0717456,15.4597855,20.0859718,0.0,216.38657399809864,0,0.01
1175,32.3,44.915535,0.0740522,15.4019909,19.6212692,59.870581575107366,294.0748728180381,1,0.72
504,0.0,43.4184914,0.0691289,26.1187611,21.8753757,0.0,54.73218886944485,0,0.06
474,16.0,56.3711433,0.072314,16.1653538,22.3571987,204.58347511929375,67.91702172713362,1,1.0
569,0.0,43.3503189,0.0645973,39.9046021,23.2422733,0.0,339.2330303913501,0,0.05
471,6.6,41.6059875,0.0692539,15.5849571,23.3829956,48.467604701976576,57.39538341546852,1,1.0
973,0.0,43.0062866,0.0737303,15.5154772,19.9521484,320.2918143832628,15.467504442652938,0,0.09
635,0.0,48.712471,0.0678045,27.6266308,21.9152813,0.0,365.15921404600095,0,0.01
16,0.0,43.1829453,0.066278,34.4906998,23.0434341,259.60476709586726,50.90493505150157,0,0.13
121,0.0,46.3569756,0.0678846,31.3196907,22.1591301,340.9199207563541,100.5756903066098,0,0.0
1364,9.4,42.8196602,0.0645399,40.8143921,23.6141624,0.0,57.370895368441865,1,0.8
588,0.0,45.4930267,0.059,34.5354118,24.4218674,504.6813459052113,1028.0641639249889,0,0.01
643,12.8,61.2075119,0.076512,13.1269255,24.0082932,272.07981464045395,45.3679601974144,1,1.0
415,25.3,81.8302612,0.0770815,13.2816019,24.4441223,22.078854581673735,15.777210284743138,1,0.91
1051,7.5,34.6656227,0.0662437,14.9410782,22.8316078,233.84517164583093,22.480520954798468,1,0.99
1248,13.4,52.2552681,0.0715166,16.0950813,23.5432224,204.81718355603107,17.762622537770792,1,1.0
832,6.5,39.2121506,0.069959,15.5697317,21.5891666,118.08281926605626,107.65468408805287,1,0.9
914,6.5,34.8104324,0.0698699,15.0299225,21.3878765,77.93703779124756,66.4378302901124,1,0.9
227,0.0,47.482296,0.0693848,22.6160374,21.5279655,454.28138399958334,201.55490277872255,0,0.01
525,10.5,38.1766777,0.0706241,19.5277729,21.8496819,663.2007284874163,32.95556600068433,1,0.8
224,6.9,74.2764282,0.0769255,13.5707579,24.3879662,26.230075016716206,48.38621187367497,1,1.0
232,0.0,77.0,0.080517,13.3000002,23.7577114,130.91664830569417,117.7079892656523,0,0.07
627,10.8,36.6105499,0.071197,17.8364258,21.8238106,440.48498962697226,71.57941321598658,1,0.91
237,11.4,40.7907906,0.0693084,15.3117218,23.3994064,40.460821116483615,81.35104218511262,1,1.0
423,0.0,35.2233543,0.071336,16.9000244,21.3502941,0.0,353.2843695247711,0,0.03
