CITY,COUNTY,ADDRESS,F1ST_MAX_24_HR,F2ND_MAX_24_HR,F3RD_MAX_24_HR,F4TH_MAX_24_HR,F98TH_PERCENTILE_24_HR,ARITH_MEAN,Latitude,Longitude
Boston,Suffolk,KENMORE SQUARE,17.500000000000000,14.800000000000001,13.400000000000000,12.100000000000000,14.400000000000000,5.690000000000000,42.382460000000002,-71.072580000000002
Boston,Suffolk,HARRISON AVENUE,21.500000000000000,14.300000000000001,13.400000000000000,12.100000000000000,14.300000000000001,5.310000000000000,42.329780000000000,-71.082300000000004
Boston,Suffolk,VON HILLERN STREET,16.500000000000000,13.500000000000000,13.000000000000000,12.300000000000001,13.500000000000000,5.210000000000000,42.324719999999999,-71.055560000000000
Boston,Suffolk,NORTH STREET,15.900000000000000,12.300000000000001,9.699999999999999,9.500000000000000,15.900000000000000,5.600000000000000,42.363059999999997,-71.054360000000003
Boston,Suffolk,NORTH STREET (COLLOCATED),9.699999999999999,9.600000000000000,8.600000000000000,8.100000000000000,9.699999999999999,5.970000000000000,42.363059999999997,-71.054360000000003
Brockton,Plymouth,CLINTON STREET,13.300000000000001,12.100000000000000,10.100000000000000,10.000000000000000,12.100000000000000,4.890000000000000,42.065330000000003,-71.013270000000006
Chicopee,Hampden,ANDERSON ROAD,15.900000000000000,14.400000000000000,13.400000000000000,12.900000000000000,14.400000000000000,5.170000000000000,42.199610000000000,-72.550730000000001
Chicopee,Hampden,ANDERSON ROAD (COLLOCATED),18.199999999999999,14.400000000000000,13.500000000000000,13.400000000000000,14.400000000000000,5.380000000000000,42.199610000000000,-72.550730000000001
Greenfield,Franklin,BAR AVENUE,15.199999999999999,14.800000000000001,12.699999999999999,11.500000000000000,14.800000000000001,5.180000000000000,42.605849999999997,-72.596500000000006
Haverhill,Essex,WASHINGTON STREET,13.300000000000001,12.400000000000000,12.400000000000000,11.800000000000001,12.400000000000000,5.030000000000000,42.769640000000003,-71.101730000000003
Pittsfield,Berkshire,SILVER LAKE DRIVE,44.000000000000000,17.500000000000000,16.000000000000000,15.300000000000001,17.500000000000000,5.930000000000000,42.451749999999997,-73.242289999999997
Springfield,Hampden,LIBERTY STREET (1),15.400000000000000,9.900000000000000,9.800000000000001,9.699999999999999,15.400000000000000,4.530000000000000,42.108780000000003,-72.591840000000005
Springfield,Hampden,LIBERTY STREET (2),16.199999999999999,15.000000000000000,14.500000000000000,13.400000000000000,15.000000000000000,6.670000000000000,42.119920000000000,-72.584829999999997
Worcester,Worcester,SUMMER STREET,15.000000000000000,14.400000000000000,12.900000000000000,12.800000000000001,14.400000000000000,5.580000000000000,42.266810000000000,-71.795720000000003
